rank,tmdb_id,title,original_title,original_language,release_date,release_year,popularity,vote_average,vote_count,adult,video,genre_ids,genres,runtime,status,tagline,budget,revenue,homepage,imdb_id,production_companies,production_countries,spoken_languages,cast,directors,keywords,overview,poster_url,backdrop_url,kobis_movie_cd,kobis_movie_nm,kobis_open_dt,kobis_match_status,kobis_boxoffice_date,kobis_rank,kobis_audi_acc,kobis_sales_acc,kobis_daily_audi_cnt,kobis_daily_sales_amt,kobis_scrn_cnt,kobis_show_cnt,page,fetched_at
1,1375646,군체,군체,ko,2026-05-21,2026,69.0494,6.5,9,False,False,28|53|27,액션|스릴러|공포,123,Released,새로운 진화의 시작,0,0,,tt34385135,Wow Point|Smilegate Entertainment|Midnight Studio,KR,Korean,전지현(Kwon Se-jeong)|구교환(Seo Young-cheol)|지창욱(Choi Hyun-seok)|김신록(Choi Hyun-hee)|신현빈(Kong Seol-hee)|고수(Han Kyu-seong)|이중옥(Lee Bong-seok)|김종태(Kang Woo- chul)|황재열(Citizen)|이담희(Lee So-eun),연상호,zombie,"서울 도심의 초고층 빌딩에서 정체불명의 집단 감염사태가 발생한다. 건물은 순식간에 봉쇄되고, 그 안에 있던 사람들은 그대로 고립된다. 처음에는 짐승처럼 기어다니던 감염자들은 점점 진화하며 두 발로 걷기 시작하고, 사람을 식별하며 무리를 지어 생존자들을 공격한다. 생명공학자 권세정과 생존자들은 자신의 몸에 백신을 주입했다고 신고한 서영철을 찾아 구조대가 기다리는 옥상으로 향한다. 하지만 올라갈수록 상황은 점점 더 예측할 수 없게 변해가고, 서영철은 감염자들을 앞세워 생존자들 앞을 막아서는데...",https://image.tmdb.org/t/p/original/thK6glS5pklrlijsgSN6Hw9GLQK.jpg,https://image.tmdb.org/t/p/original/jDvxsBemt2Iyslg7qn2WMzgxz23.jpg,20252402,군체,20260521,matched_boxoffice,2026-05-27,1,2378486,25914603910,209405,2017357160,1813,6971,1,2026-05-28T10:29:05.701917+00:00
2,496243,기생충,기생충,ko,2019-05-30,2019,39.0846,8.494,20630,False,False,35|53|18,코미디|스릴러|드라마,131,Released,행복은 나눌수록 커지잖아요,11363000,257591776,,tt6751668,Barunson E&A,KR,English|German|Korean,송강호(Kim Ki-taek)|이선균(Park Dong-ik)|조여정(Yeon-kyo)|최우식(Ki-woo)|박소담(Ki-jung)|이정은(Moon-gwang)|장혜진(Chung-sook)|박명훈(Geun-se)|정지소(Da-hye)|정현준(Da-song),봉준호,"dark comedy|con artist|social commentary|working class|infiltration|psychological thriller|class differences|family|unemployed|domestic worker|wealthy family|south korea|cautionary|caste violence|seoul, south korea|anti-capitalist|best picture winner|oscar winner","전원 백수로 살 길 막막하지만 사이는 좋은 기택 가족. 장남 기우에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박 사장 집으로 향하는 기우. 글로벌 IT기업의 CEO인 박 사장의 저택에 도착하자 젊고 아름다운 사모님 연교와 가정부 문광이 기우를 맞이한다. 큰 문제 없이 박 사장의 딸 다혜의 과외를 시작한 기우. 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고  있는데.....",https://image.tmdb.org/t/p/original/jjHccoFjbqlfr4VGLVLT7yek0Xn.jpg,https://image.tmdb.org/t/p/original/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,20183782,기생충,20190530,matched_boxoffice,2019-07-28,3,10041843,85522700795,7326,63485090,99,160,1,2026-05-28T10:29:05.701917+00:00
3,269955,인간중독,인간중독,ko,2014-05-14,2014,37.7699,6.683,82,False,False,18,드라마,132,Released,누가 보면 어때요? 다 남인데...,0,0,,tt3303730,Next Entertainment World|Finecut|Iron Pack,KR,Korean,송승헌(Colonel Kim Jin-pyeong)|임지연(Jong Ga-heun)|조여정(Lee Sook-jin)|온주완(Kyung Woo-jin)|유해진(Lim)|박혁권(Lieutenant Colonel Choi)|Jang Yun-sil(Unit 4 Woman)|김혜나(Unit 6 Woman)|엄태구(Warrant Officer Kim)|Han Ha-yoo(Hanbok Woman Fairy),김대우,vietnam war|military base|love affair|1960s|korean army,"베트남전이 막바지로 치달아가던 1969년, 엄격한 위계질서와 상하관계로 지배되는 군관사. 모두의 신임을 받으며 승승장구 중인 교육대장 김진평과 남편을 장군으로 만들려는 야망을 가진 진평의 아내 이숙진. 어느 날, 김진평의 부하로 충성을 맹세하는 경우진과 그의 아내 종가흔이 이사를 온다. 진평은 우진의 아내 가흔에게 첫 만남부터 강렬한 떨림을 느끼는데…",https://image.tmdb.org/t/p/original/zMCeJiRbV7Z5TFA8JpALExAQra.jpg,https://image.tmdb.org/t/p/original/iGBbWXmAIgpiWg9Mx2D2gLzbg4n.jpg,20133322,인간중독,20140514,matched_boxoffice,2014-07-11,10,1441873,11284412400,150,600000,1,1,1,2026-05-28T10:29:05.701917+00:00
4,396535,부산행,부산행,ko,2016-07-20,2016,31.5899,7.749,8364,False,False,27|53|28|12,공포|스릴러|액션|모험,118,Released,전대미문의 재난이 대한민국을 덮친다,8500000,87547518,,tt5700672,Next Entertainment World|RedPeter Films|Contents Panda|Union Investment Partners|KTB Network,KR,Korean,공유(Seok-woo)|김수안(Soo-ahn)|정유미(Sung-gyeong)|마동석(Sang-hwa)|최우식(Yeong-gook)|안소희(Jin-hee)|김의성(Yong-suk)|예수정(In-gil)|박명신(Jong-gil)|최귀화(Homeless Man),연상호,"halloween|zombie|train|survival horror|pandemic|aggressive|somber|busan, south korea|south korea|suspenseful","별거 중인 펀드 매니저 석우는 소원해진 딸 수안의 생일 소원을 들어주기 위해 아내가 있는 부산행 KTX에 오른다. 이내 열차는 좀비의 침투와 감염으로 아수라장으로 변하고, 전국적 재난 뉴스를 차내에서 접한 승객들의 생존가능성은 유일하게 초기 대응에 성공한 도시 부산까지 살아남은 채 도착할 수 있느냐에 달리게 된다. 열차에 몸을 실은 석우와 딸 수안, 상화와 성경 커플, 고등학생 영국, 진희, 그리고 노숙자와 중년의 비즈니스맨 용석은 감염된 사람들의 공격을 피해 열차 안에서 사투를 벌인다.",https://image.tmdb.org/t/p/original/6XvEZVBFFjybvb1yQd1qfOC6F2S.jpg,https://image.tmdb.org/t/p/original/fVpFOcQyHJM2di9upgSIwWD5wac.jpg,20156564,부산행,20160720,matched_boxoffice,2016-09-17,8,11563707,93164592548,1127,9741400,33,40,1,2026-05-28T10:29:05.701917+00:00
5,1058424,호프,호프,ko,2026-11-04,2026,20.1806,0.0,0,False,False,878|9648|28,SF|미스터리|액션,160,Released,,0,0,,tt27369017,Forged Films|Plus M Entertainment|Westworld Story,KR,English|Korean,황정민(Bum-seok)|조인성(Sung-ki)|정호연(Sung-ae)|알리시아 비칸데르(J'aur)|마이클 패스벤더(Ma'veyyo)|테일러 러셀(Ai'dovor)|캐머런 브리턴(Va'migere)|음문석(Yang-bae)|임현식|이상희(Nak-yeon),나홍진,hunted|remote village|20th century|fight for survival|suspense mystery|unknown entity|extraterrestrial threat,고립된 항구마을 호포항에서 시작된 의문의 존재 공격에 맞서는 주민들의 이야기,https://image.tmdb.org/t/p/original/1n37BJchWHLiSYQkuFxe5KjB951.jpg,https://image.tmdb.org/t/p/original/i0lipAm0VHFA3EH0CPV0s5LJMIE.jpg,20233219,호프,null,matched_no_boxoffice,null,null,null,null,null,null,null,null,1,2026-05-28T10:29:05.701917+00:00
6,1268127,휴민트,휴민트,ko,2026-02-11,2026,21.0162,7.43,136,False,False,53|28|18,스릴러|액션|드라마,120,Released,사람을 통한 정보 활동,16000000,13207600,https://www.its-new.co.kr/movie/works/detail.aspx?lang=kr&seq=1235,tt32606470,Filmmaker R&K,KR,Korean|Hindi|English|Russian,조인성(Manager Zo)|박정민(Park Geon)|박해준(Hwang Chi-seong)|신세경(Chae Seon-hwa)|로버트 마서(Aleksei)|정유진(Assistant Manager Lim)|박명신(North Korean Restaurant Manager)|이신기(Geum-tae)|강하경(Eun-pyo)|이준영(Dong-cheol),류승완,double agent|double cross|undercover operation|south korea|north korea|inter-korean relations|national intelligence service (nis)|political conspiracy|spy vs spy|deadly alliance|trust no one|hidden truths|silent war|broken loyalty|shadow politics|cold betrayal|final operation|intelligence war|nis agent|humint,"러시아에서 마약 조직을 추적하던 남한 요원. 북한 요원과 정면충돌하면서, 두 사람은 거대한 위험과 거미줄처럼 얽힌 음모에 휘말린다.",https://image.tmdb.org/t/p/original/f7sCSLEPRfV2fWQ0RYOtHhnHXuG.jpg,https://image.tmdb.org/t/p/original/5KFThZkdBEQkp9gPWWWNb5CI5yD.jpg,20241266,휴민트,20260211,matched_boxoffice,2026-03-30,7,1981112,19993536810,439,3914900,38,38,1,2026-05-28T10:29:05.701917+00:00
7,290098,아가씨,아가씨,ko,2016-06-01,2016,22.1907,8.2,4317,False,False,53|18|10749,스릴러|드라마|로맨스,144,Released,가짜한테 마음을 빼앗겼다,8575000,38600000,,tt4016934,Moho Film|Yong Film|CJ Entertainment,KR,Japanese|Korean,김민희(Lady Hideko)|김태리(Sook-hee)|하정우(Count Fujiwara)|조진웅(Uncle Kouzuki)|김해숙(Ms. Sasaki)|문소리(Hideko's Aunt)|이용녀(Bok-soon)|곽은진(Kkeut-dan)|이동휘(Goo-gai)|조은형(Young Hideko),박찬욱,jealousy|based on novel or book|library|pickpocket|eroticism|con man|swindler|lesbian relationship|mansion|lust|lgbt|noblewoman|erotic thriller|con woman|1930s|lady's maid|handmade|seducer|japanese occupation of korea|lesbian|girls' love (gl)|romantic,"어릴 적 부모를 잃고 후견인 이모부의 보호 아래 살아가는 귀족 아가씨에게 백작이 추천한 새로운 하녀가 찾아온다. 이모부의 서재에서 책을 읽는 것이 일상의 전부인 아가씨는  순박해 보이는 하녀에게 조금씩 의지하기 시작한다. 하지만 하녀의 정체는 유명한 여도둑의 딸인 소매치기 고아 소녀 숙희. 막대한 재산을 상속받게 될 아가씨를 유혹하여 돈을 가로채겠다는 사기꾼 백작의 제안을 받고  아가씨가 백작을 사랑하게 만들기 위해 하녀가 된 것. 드디어 백작이 등장하고, 백작과 숙희는 자신만의 방식으로 아가씨의 마음을 흔들기 시작하는데...",https://image.tmdb.org/t/p/original/pDogzUCSBy0m4ybLKUv3OtGMRNm.jpg,https://image.tmdb.org/t/p/original/3upEZ0ltY7WwOSFVXrtiP34D48p.jpg,20262461,아저씨의 애무에 넘어간 아가씨,20260326,matched_no_boxoffice,null,null,null,null,null,null,null,null,1,2026-05-28T10:29:05.701917+00:00
8,670,올드보이,올드보이,ko,2003-11-21,2003,16.3902,8.239,9849,False,False,18|53|9648|28,드라마|스릴러|미스터리|액션,120,Released,"15년의 감금, 5일의 추적",3000000,17500000,,tt0364569,Show East|Egg Film|Cineclick Asia,KR,Korean,최민식(Oh Dae-su)|유지태(Lee Woo-jin)|강혜정(Mi-do)|김병옥(Mr. Han)|지대한(No Joo-hwan)|오달수(Park Cheol-woong)|이승신(Hypnotist)|윤진서(Lee Soo-ah)|오태경(Young Dae-su)|유연석(Young Woo-jin),박찬욱,daughter|martial arts|rage and hate|hostility|transformation|imprisonment|dark comedy|hypnosis|sushi restaurant|notebook|time|sin|alcoholism|flashback|revenge|loneliness|torture|based on manga|urination|rage|anger|catholic|incest|captivity|neo-noir|brother sister sex|father daughter relationship|asian origins|remade|south korea|hammer|driven to suicide|brother sister incest|father daughter incest,"오대수는 어느 날 술이 거나하게 취해 집에 돌아가는 길에 누군가에게 납치, 사설 감금방에 갇히게 된다. 중국집 군만두만을 먹으며 8평이라는 제한된 공간에서 그가 할 수 있는 일이라곤 텔레비전 보는 게 전부. 1년이 지났을 무렵, 뉴스를 통해 나오는 아내의 살해소식. 게다가 아내의 살인범으로 자신이 지목되고 있음을 알게 된 오대수는 복수와 탈출을 위해 감금방 한쪽 구석을 쇠젓가락으로 파기 시작한다. 감금 15년을 맞이하는 해, 마침내 사람 몸 하나 빠져나갈 만큼의 탈출구가 생겼을 때, 어이없게도 15년 전 납치됐던 바로 그 장소로 풀려나 있는 자신을 발견하게 된다.",https://image.tmdb.org/t/p/original/xpa9ybm6tYGna5LseqSXvKpSSJn.jpg,https://image.tmdb.org/t/p/original/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,20030350,올드보이,20031121,matched_boxoffice,2004-01-14,4,296945,1914712500,883,5786500,5,20,1,2026-05-28T10:29:05.701917+00:00
9,338803,간신,간신,ko,2015-05-21,2015,18.1012,6.1,91,False,False,18|36|80,드라마|역사|범죄,131,Released,"천년의 쾌락, 광란의 기록",0,6906250,,tt4844288,Lotte Entertainment|Soo Film,KR,Korean,주지훈(Im Sung-jae)|김강우(Prince Yeonsan)|임지연(Dan-hee)|이유영(Seol Jung-mae)|천호진(Sa-hong)|차지연(Jang Nok-su)|고경표(Grand Prince Jin-seong)|서영주(Young Im Sung-jae)|송영창(Yu Ja-gwang)|조한철(Park Won-jong),민규동,king|15th century|joseon dynasty (1392–1910),"연산군 11년, 1만 미녀를 바쳐 왕을 쥐락펴락하려는 자가 득실거리니,  그야말로 간신들의 시대가 도래했다.  “단 하루에 천년의 쾌락을 누리실 수 있도록 준비하겠나이다!”  연산군은 임숭재를 채홍사로 임명하여 조선 각지의 미녀를 강제로 징집했고, 그들을 운평이라 칭하였다.  최악의 간신 임숭재는 이를 기회로 삼아 천하를 얻기 위한 계략을 세우고, 양반집 자제와 부녀자, 천민까지 가릴 것 없이 잡아들이니 백성들의 원성이 하늘을 찔렀다.  ""왕을 다스릴 힘이 내 손안에 있습니다!  내가 바로 왕 위의 왕이란 말입니다!""  임숭재와 임사홍 부자는 왕을 홀리기 위해 뛰어난 미색을 갖춘 단희를 간택해 직접 수련하기 시작하고, 임숭재 부자에게 권력을 뺏길까 전전긍긍하던 희대의 요부 장녹수는 조선 최고의 명기 설중매를 불러들여 단희를 견제한다.  한 치도 물러설 수 없는 간신들의 치열한 권력다툼이 시작되고, 단희와 설중매는 살아남기 위해 조선 최고의 색(色)이 되기 위한 수련을 하게 되는데…",https://image.tmdb.org/t/p/original/wjHi19IHTq6VmOtSENnLbkhUiMk.jpg,https://image.tmdb.org/t/p/original/qFq2Ixo3XApoTp1H7JCTgLfGwVk.jpg,20142402,간신,20150521,matched_boxoffice,2015-06-30,9,1110214,8946618910,143,1072500,1,1,1,2026-05-28T10:29:05.701917+00:00
10,1321179,왕과 사는 남자,왕과 사는 남자,ko,2026-02-04,2026,14.5923,7.265,17,False,False,36|18,역사|드라마,117,Released,"1457년 청령포, 역사가 지우려 했던 이야기",6900000,111782570,,tt38626703,BA Entertainment|Onda Works,KR,Korean,유해진(Eom Heung-do)|박지훈(Yi Hong-wi / Nosan / King Danjong)|유지태(Han Myeong-hoe)|전미도(Mae-hwa)|김민(Eom Tae-san)|박지환(Eo Se-gyeom)|이준혁(Geumseong / Yi Yu)|안재홍(Norugol village chief)|이준혁(Makdong's father)|김수진(Makdong's mother),장항준,coup d'etat|exile|based on true story|king|period drama|middle ages (476-1453)|historical drama|depose|nobleman|15th century|joseon dynasty (1392–1910)|based on real person|the gyeyu rebellion,"계유정난이 조선을 뒤흔들고 어린 왕 이홍위는 왕위에서 쫓겨나 유배길에 오른다. 한편, 강원도 영월 산골 마을 광천골의 촌장 엄흥도는 먹고 살기 힘든 마을 사람들을 위해 청령포를 유배지로 만들기 위해 노력한다. 그러나 촌장이 부푼 꿈으로 맞이한 이는 왕위에서 쫓겨난 이홍위였다. 유배지를 지키는 보수주인으로서 그의 모든 일상을 감시해야만 하는 촌장은 삶의 의지를 잃어버린 이홍위가 점점 신경 쓰이는데…",https://image.tmdb.org/t/p/original/kkJB3SeUJp7Y0IXXLkv5QZHJGkH.jpg,https://image.tmdb.org/t/p/original/1s1r4OOdnU8VX2inALVTA2q94uY.jpg,20242837,왕과 사는 남자,20260204,matched_boxoffice,2026-04-04,1,15997259,154383207390,123797,1240513800,1392,5417,1,2026-05-28T10:29:05.701917+00:00
11,581528,악인전,악인전,ko,2019-05-15,2019,15.3048,7.856,1462,False,False,28|80|53,액션|범죄|스릴러,112,Released,악마를 잡기 위해 손잡다,6500000,25775371,,tt10208198,Acemaker Movieworks|BA Entertainment|Kiwi Media Group|B&C Content,KR,Korean,마동석(Jang Dong-su)|김무열(Jung Tae-suk)|김성규(Kang Gyeong-ho)|허동원(Choi Moon-sik)|유재명(Heo Sang-do)|이서환(Choi Jeong-gyu)|오희준(Kim Dong-chul)|김규리(Cha Seo-jin)|유승목(Ahn Ho-bong)|류태호(Mr. Ahn),Lee Won-tae,police|gangster|based on true story|serial killer|gang|dramatic|defiant,"중부권을 쥐고 흔드는 제우스파 조직의 보스 장동수, 비 내리던 밤 한적한 도로에서 접촉사고를 위장해 접근한 남자에게 불의의 습격을 받는다. 격투 끝에 가까스로 목숨은 건졌지만 조직 보스의 권위와 자존심은 무너지고 만다. 바짝 독이 오른 장동수 앞에 형사 정태석이 나타나 그를 찌른 놈이 연쇄살인범이라며 그날 밤 기억나는 것을 모두 말하라고 한다. 장동수는 얼굴 없는 연쇄살인마와 마주쳐 살아남은 유일한 생존자이자 목격자였다. 자신의 몸에 손 댄 그 놈을 살 떨리게 잡고 싶은 조직의 보스 장동수와 미치도록 범인을 잡고 싶은 강력반 미친개 정태석, 두 사람은 장동수의 조직력과 자본, 정태석의 정보력과 기술력을 이용해 ""K""라 불리는 연쇄살인마를 함께 잡기로 하는데...",https://image.tmdb.org/t/p/original/az4OVqXbFVaHoZlktcm7oCm0LZo.jpg,https://image.tmdb.org/t/p/original/jJJQ1PPXUEchqyZ9YyWzgSNU39Z.jpg,20188941,악인전,20190515,matched_boxoffice,2019-07-09,10,3363387,29125214850,126,651000,6,6,1,2026-05-28T10:29:05.701917+00:00
12,639988,어쩔수가없다,어쩔수가없다,ko,2025-09-24,2025,12.8982,7.503,1055,False,False,35|80|53,코미디|범죄|스릴러,139,Released,"사람은 넷, 자리는 하나",12200000,40223568,,tt1527793,CJ ENM Studios|Moho Film|KG Productions,KR|FR,English|Korean,이병헌(Man-su)|손예진(Mi-ri)|박희순(Choi Seon-chul)|이성민(Gu Bum-mo)|염혜란(Lee A-ra)|차승원(Ko Si-jo)|오달수(Detective #1)|김우승(Si-won)|최소율(Ri-won)|김해숙(Ok Sang-yeo),박찬욱,based on novel or book|dark comedy|remake|murder|unemployment|paper industry|unemployed|devoted family man|murder plot,"다 이루었다는 생각이 들 만큼 삶에 만족하던 25년 경력의 제지 전문가 만수. 아내 미리, 두 아이, 반려견들과 함께 행복한 일상을 보내던 만수는 회사로부터 돌연 해고 통보를 받는다. 목이 잘려 나가는 듯한 충격에 괴로워하던 만수는, 가족을 위해 석 달 안에 반드시 재취업하겠다고 다짐한다. 그 다짐이 무색하게도, 그는 1년 넘게 마트에서 일하며 면접장을 전전하고, 급기야 어렵게 장만한 집마저 빼앗길 위기에 처한다. 무작정 문 제지를 찾아가 필사적으로 이력서를 내밀지만, 선출 반장 앞에서 굴욕만 당한다. 문 제지의 자리는 누구보다 자신이 제격이라고 확신한 만수는 모종의 결심을 한다.",https://image.tmdb.org/t/p/original/9w7WGjQes0Cs0s4U3Qr09Tg1Sra.jpg,https://image.tmdb.org/t/p/original/s6aB9kjxNg0mu2361IkCUSpyHJV.jpg,20243561,어쩔수가없다,20250924,matched_boxoffice,2025-11-21,7,2940572,28748211370,427,4750200,29,31,1,2026-05-28T10:29:05.701917+00:00
13,646315,전설의 라이타,전설의 라이타,ko,2019-10-29,2019,12.4612,5.8,5,False,False,28,액션,109,Released,너…라이타라고 들어봤냐? 라이타 쥔 주먹으로 20명을 묵사발 낸 전설이지,0,0,,tt34510565,Fiveday|Gnos|Kkuljam Company,KR,Korean,김해준(Chae Song Bin (Lighter))|Park Sharon(Park Jin-ah)|Lee Dong-ju(Lee Yeong-tae)|홍달표(Ma Seok-joon),Chae Ki-jun,fighting|action hero,"맨주먹계의 전설적인 인물 채성빈(라이타). 아버지 같은 남자 마석준의 충고를 받아들여 이제는 평범한 삶을 살기로 결심한다. 그러던 중 우연히 골목에서 일진들에게 괴롭힘을 당하는 박주민을 구해주게 되고, 그를 계기로 박주민의 누나 박진아와 가까운 사이가 된다. 한편 박진아는 지역개발 이권 다툼에 휘말려 고통 받고 있었고 그 강도가 심해져 목숨까지 위협받는 처지가 된다. 끊임없는 조폭들의 위협으로 하루하루가 지옥 같던 박진아의 곁에 전설의 주먹 채성빈이 등장하게 되고, 채성빈은 사랑하는 박진아를 위해 마지막으로 다시 한번 라이타를 손에 쥐게 된다.",https://image.tmdb.org/t/p/original/h5fCwKCnKAKxdX6onTnrU6MeYe8.jpg,https://image.tmdb.org/t/p/original/pe3cTrUeAHHLycZVEmFjT9kEV7a.jpg,,,,pending,,,,,,,,,1,2026-05-28T10:29:05.701917+00:00
14,1420733,귀시,귀시,ko,2025-09-17,2025,12.9925,5.6,9,False,False,27|53,공포|스릴러,97,Released,귀신을 사고파는 곳,0,0,,tt37024184,JERRYGOOD Company Inc.|Zanybros|CCM Factory|Westworld Story,KR,Vietnamese|Korean,유재명(Park Dong-sik)|문채원(Lee Chae-won)|서영희(Jeong Hee-jin)|원현준(The Shaman)|솔라(Han Mi-yeon)|차선우(Yoon Geon)|수민(Yoon Su-yeon)|서지수(Pyo Eun-seo)|손주연(Sin Se-jin)|최보민,홍원기,supernatural|anthology|ghost|horror anthology|ghosts,"매일 밤, 아무도 모르게 열리는 귀신을 사고 파는 시장 ‘귀시’. 양손의 검지와 새끼손가락을 맞대 여우 모양의 창을 그리면, 그 문이 열린다. 돈, 외모, 성적, 스펙, 인기.. 갖지 못한 것을 탐하는 사람들이 모이는 곳, 그곳에서는 매일 밤 상상조차 할 수 없는 섬뜩한 거래가 벌어지는데…",https://image.tmdb.org/t/p/original/prXqVtz3NOGGh52y9VZK5ja4efh.jpg,https://image.tmdb.org/t/p/original/tYJMvtbjtYexeYB5CjnjezwnWEq.jpg,,,,pending,,,,,,,,,1,2026-05-28T10:29:05.701917+00:00
15,255709,소원,소원,ko,2013-10-02,2013,12.9813,8.398,855,False,False,18,드라마,123,Released,가장 아픈 곳에서 피어난 가장 따뜻한 이야기,0,0,,tt3153634,Lotte Entertainment|Film Momentum|Michigan Venture Capital,KR,Korean,설경구(Dong-hoon)|엄지원(Mi-hee)|이레(So-won)|김상호(Gwang-sik)|김해숙(Psychiatrist Jung-sook)|라미란(Young-suk's Mother)|권태원(Detective Squad Chief)|강신철(Prosecutor)|서현우(Paramedic)|차미경(Vice Principal),이준익,child abuse|hope|based on true story|sexual assault|south korea,"어느 비 오는 아침, 학교를 가던 9살 소녀 소원은 술에 취한 아저씨에게 끌려가 믿고 싶지 않은 사고를 당한다. 이 일로 몸과 마음에 지울 수 없는 상처를 받은 소원이네 가족. 하지만 절망 끝에서 희망을 찾아 나서는데...",https://image.tmdb.org/t/p/original/PZlNvDwKwHeHUsXnd6SEDXWZNn.jpg,https://image.tmdb.org/t/p/original/4Nx40jwpoTHPjCWNGoaZ6kaoGxa.jpg,,,,pending,,,,,,,,,1,2026-05-28T10:29:05.701917+00:00
16,615173,마녀 2,마녀 2,ko,2022-06-15,2022,13.8879,7.398,447,False,False,28|9648|53|878,액션|미스터리|스릴러|SF,137,Released,통제불능의 존재가 세상 밖으로 나왔다!,0,23068596,http://witch2.kr/,tt13721828,Peppermint & Company|Next Entertainment World|Studio & New|Goldmoon Film|Contents Panda|Warner Bros. Korea,KR,Mandarin|English|Hindi|Japanese|Korean,신시아(Girl)|박은빈(Kyung-hee)|서은수(Jo-hyun)|진구(Yong-du)|성유빈(Dae-gil)|저스틴 하비(Tom)|차순배(Byun Park)|조민수(Baek)|이종석(Jang)|김다미(Ja-yoon),박훈정,witch|supernatural|sequel|supernatural power,"자윤이 사라진 뒤, 정체불명의 집단의 무차별 습격으로 마녀 프로젝트가 진행되고 있는 아크가 초토화된다. 그곳에서 홀로 살아남은 소녀는 생애 처음 세상 밖으로 발을 내딛고 우연히 만난 경희의 도움으로 농장에서 지내며 따뜻한 일상에 적응해간다. 한편, 소녀가 망실되자 행방을 쫓는 책임자 장과 마녀 프로젝트의 창시자 백총괄의 지령을 받고 제거에 나선 본사 요원 조현, 경희의 농장 소유권을 노리는 조직의 보스 용두와 상해에서 온 의문의 4인방까지 각기 다른 목적을 지닌 세력이 하나 둘 모여들기 시작하면서 소녀 안에 숨겨진 본성이 깨어나는데…",https://image.tmdb.org/t/p/original/cah6iIYQBctvCmBjsKGb1NCiygr.jpg,https://image.tmdb.org/t/p/original/iryef4LKiPQkvhNJS1EtLlay3br.jpg,,,,pending,,,,,,,,,1,2026-05-28T10:29:05.701917+00:00
17,936245,히든페이스,히든페이스,ko,2024-11-20,2024,13.4229,5.1,66,False,False,9648|53,미스터리|스릴러,113,Released,"벗겨진 비밀, 뒤엉킨 욕망",0,0,,tt34490115,Studio & New,KR,Korean,송승헌(Sung-jin)|조여정(Su-yeon)|박지현(Mi-ju)|박지영(Hye-yeon)|박성근(Office Manager)|차미경(Sung-jin's Mother)|변중희(Ms. Park)|박영준(Deputy Concertmaster)|주예린(Su-yeon's Friend)|이소영(Su-yeon's Friend),김대우,remake|orchestra conductor|secret room,"지휘자 성진이 이끄는 오케스트라의 첼리스트이자 약혼녀 수연이 어느 날 영상 편지만을 남겨둔 채 자취를 감춘다. 성진은 수연을 잃은 상실감에 고통스러워하지만, 그녀를 대신한 첼리스트 미주에게 강한 끌림을 느낀다. 비 오는 밤, 서로의 욕망에 휩쓸린 성진과 미주는 수연의 집에서 용서받지 못할 짓을 저지른다. 한편 사라진 줄 알았던 수연은 혼자서는 절대 나올 수 없는 집 안 밀실에 갇혀 숨겨진 민낯을 지켜보는데...",https://image.tmdb.org/t/p/original/rkuzlpvaAQIbamiRvEFPqzv4zVk.jpg,https://image.tmdb.org/t/p/original/jgySLjw9ZDKbnGf0VlhlHT7iHSi.jpg,,,,pending,,,,,,,,,1,2026-05-28T10:29:05.701917+00:00
18,293670,곡성,곡성,ko,2016-05-12,2016,10.5955,7.378,2046,False,False,27|9648,공포|미스터리,156,Released,미끼를 물었다,10951000,49851770,,tt5215952,Fox International Productions|Ivanhoe Pictures|Side Mirror|20th Century Fox Korea,KR|US,Korean|Japanese,곽도원(Jong-goo)|황정민(Il-gwang)|천우희(Moo-myeong)|쿠니무라 준(The Stranger)|김환희(Hyo-jin)|허진(Mother-in-Law)|장소연(Jong-goo's Wife)|김도윤(Yang Yi-sam)|조한철(Detective)|손강국(Oh Sung-bok),나홍진,daughter|small town|police|investigation|exorcism|possession|murder|priest|rural area|curse|shaman|zombie|demon|shrine|occult|macabre|ghost|gluttony|shamanism|folk horror|acupuncture|divination|frightened,"낯선 외지인이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만  모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 종구는 현장을 목격했다는 여인 무명을 만나면서  외지인에 대한 소문을 확신하기 시작한다. 딸 효진이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 종구. 외지인을 찾아 난동을 부리고, 무속인 일광을 불러들이는데...",https://image.tmdb.org/t/p/original/k9AKtgRErXjz14lFHL2IJVCgwOT.jpg,https://image.tmdb.org/t/p/original/9qxBNfI1QFbiZS62fsgaUd563t2.jpg,,,,pending,,,,,,,,,2,2026-05-28T10:29:05.701917+00:00
